now,currency,cash,frozen_cash,total_returns,daily_returns,daily_pnl,market_value,dividend_receivable,total_value,units,units_net_value,static_unit_net_value,transaction_cost,pnl,start_date,annualized_returns
2023-03-01,CNY,8480.520045218303,0,0.7210005220045217,-0.0013326172959504067,-22964.954114682972,17201524.7,0,17210005.220045216,0,0,0,1166454.4424381538,7210005.220045216,2017-01-01,0.09202335364487135
2023-03-02,CNY,25862.362103623575,0,0.7105639762103622,-0.0060642316261494585,-104365.45794159546,17079777.4,0,17105639.76210362,0,0,0,1185383.1700844206,7105639.762103621,2017-01-01,0.09090464410583032
2023-03-03,CNY,25864.331958322182,0,0.7203203731958323,0.005703614200437427,97563.96985470131,17177339.4,0,17203203.731958322,0,0,0,1185383.1700844206,7203203.731958322,2017-01-01,0.09186809523216288
2023-03-06,CNY,25866.30196305842,0,0.7396226301963058,0.011220152537411267,193022.57000473514,17370360.0,0,17396226.301963057,0,0,0,1185383.1700844206,7396226.301963057,2017-01-01,0.09371308987219673
2023-03-07,CNY,25868.272117843717,0,0.7471100272117841,0.004304035188731452,74873.97015478462,17445232.0,0,17471100.272117842,0,0,0,1185383.1700844206,7471100.272117842,2017-01-01,0.09442955548724496
2023-03-08,CNY,25870.242422689502,0,0.7309115042422689,-0.0092716100973712,-161985.2296951525,17283244.8,0,17309115.04242269,0,0,0,1185383.1700844206,7309115.0424226895,2017-01-01,0.09273921880110425
2023-03-09,CNY,25872.212877607202,0,0.7357462712877609,0.0027931913524420313,48347.67045491934,17331590.5,0,17357462.71287761,0,0,0,1185383.1700844206,7357462.712877609,2017-01-01,0.09318889006770315
2023-03-10,CNY,25874.183482608252,0,0.7174779883482609,-0.01052474272403111,-182682.8293949999,17148905.7,0,17174779.88348261,0,0,0,1185383.1700844206,7174779.883482609,2017-01-01,0.09127941943055373
2023-03-13,CNY,25876.15423770408,0,0.72527152542377,0.004537779889106096,77935.37075509131,17226839.099999998,0,17252715.2542377,0,0,0,1185383.1700844206,7252715.2542377,2017-01-01,0.09195015745593671
2023-03-14,CNY,25878.125142906116,0,0.6893458725142907,-0.02082318775918767,-359256.5290947929,16867580.6,0,16893458.725142907,0,0,0,1185383.1700844206,6893458.725142907,2017-01-01,0.08820966665275431
2023-03-15,CNY,25880.096198225798,0,0.7122181596198227,0.013539138123024305,228722.8710553199,17096301.5,0,17122181.596198227,0,0,0,1185383.1700844206,7122181.596198227,2017-01-01,0.09052985346256115
2023-03-16,CNY,25882.06740367456,0,0.6938639467403676,-0.01071955274877497,-183542.1287945509,16912757.400000002,0,16938639.467403676,0,0,0,1185383.1700844206,6938639.467403676,2017-01-01,0.08859670984090107
2023-03-17,CNY,1945.2703425735706,0,0.6971070970342572,0.0019146462737640085,32431.502938896418,16969125.7,0,16971070.970342573,0,0,0,1213246.9152993537,6971070.970342573,2017-01-01,0.08889124619465272
2023-03-20,CNY,1945.4185076912433,0,0.7060265718507692,0.005255693545857524,89194.74816511944,17058320.3,0,17060265.718507692,0,0,0,1213246.9152993537,7060265.718507692,2017-01-01,0.08968677491566379
2023-03-21,CNY,1945.5666840941867,0,0.7071413166684095,0.0006534158588344482,11147.448176402599,17069467.6,0,17071413.166684095,0,0,0,1213246.9152993537,7071413.166684095,2017-01-01,0.08975996469639735
2023-03-22,CNY,1945.7148717832602,0,0.7058008914871783,-0.0007851870071583744,-13404.251812312752,17056063.2,0,17058008.914871782,0,0,0,1213246.9152993537,7058008.914871782,2017-01-01,0.08958123220238634
2023-03-23,CNY,1945.8630707593234,0,0.7084487063070759,0.0015522414328141495,26478.148198977113,17082541.2,0,17084487.06307076,0,0,0,1213246.9152993537,7084487.063070759,2017-01-01,0.089811509264617
2023-03-24,CNY,1946.011281023236,0,0.7116266211281024,0.0018601171983066121,31779.148210264742,17114320.2,0,17116266.211281024,0,0,0,1213246.9152993537,7116266.211281024,2017-01-01,0.0900954087544763
2023-03-27,CNY,1946.159502575858,0,0.7124243243502579,0.00046604978697387816,7977.03222155571,17122297.084000003,0,17124243.24350258,0,0,0,1213246.9152993537,7124243.24350258,2017-01-01,0.09005293218566335
2023-03-28,CNY,1946.3077354180487,0,0.7101397715735416,-0.0013341043713468042,-22845.52776716277,17099451.408,0,17101397.715735417,0,0,0,1213246.9152993537,7101397.715735417,2017-01-01,0.08977853969925653
2023-03-29,CNY,1946.4559795506684,0,0.7141675371979552,0.0023552259829075803,40277.65624413639,17139728.916,0,17141675.371979553,0,0,0,1213246.9152993537,7141675.371979553,2017-01-01,0.09014808088784121
